model,repeat,growthrate,matchrate,radius,avgpathlength,nodeconnectivity,center,density,components,nodecount,avgcluscoeff,,Overall Model Comparison,,,,,,,,,
model,12,2,5,1,1,1,"[19, 23]",1,1,2,0,,,repeat,growthrate,matchrate,radius,avgpathlength,nodeconnectivity,density,nodecount,avgcluscoeff
random,20,2,2,1,1,1,"[9, 17]",1,1,2,0,,Model ,16.53846154,3.076923077,5.153846154,3.576923077,3.018984253,0.942307692,0.2082672,27.21153846,0.110007514
model,20,2,5,1,1,1,"[8, 20]",1,1,2,0,,Random,16.56,3.12,5.18,3.7,3.119743623,0.96,0.196597888,28.24,0.114407815
random,18,2,5,1,1.333333333,1,[12],0.666666667,1,3,0,,,,,,,,,,,
random,20,8,5,1,1.333333333,1,[23],0.666666667,1,3,0,,,,,,,,,,,
model,20,3,5,1,1.333333333,1,[23],0.666666667,1,3,0,,,,,,,,,,,
model,2,2,5,2,1.476190476,1,"[0, 1, 2, 3, 4]",0.571428571,1,7,0.6,,,,,,,,,,,
random,2,2,5,2,2.095238095,1,[1],0.333333333,1,7,0,,,,,,,,,,,
random,4,2,5,2,2.055555556,1,[4],0.333333333,1,9,0.340740741,,,,,,,,,,,
model,4,2,5,3,2.309090909,1,"[0, 1, 2, 3, 4]",0.290909091,1,11,0.345454545,,,,,,,,,,,
model,6,2,5,3,2.371428571,1,"[7, 9, 10]",0.257142857,1,15,0.333333333,,,,,,,,,,,
model,20,2,9,3,2.571428571,1,"[9, 11]",0.25,1,8,0,,,,,,,,,,,
random,6,2,5,3,2.285714286,1,"[0, 1, 2, 3, 4, 5]",0.238095238,1,15,0.274603175,,,,,,,,,,,
model,8,2,5,4,2.65497076,1,"[0, 1, 4, 7, 8, 14]",0.204678363,1,19,0.223057644,,,,,,,,,,,
random,20,2,9,3,2.513833992,1,"[3, 6, 8, 11]",0.169960474,1,23,0.161594203,,,,,,,,,,,
model,20,2,6,4,2.936758893,1,"[0, 4, 8]",0.166007905,1,23,0.203312629,,,,,,,,,,,
model,20,2,5,4,2.675889328,1,"[0, 1, 2, 3, 4, 7, 9, 10, 12, 13, 14, 16]",0.162055336,1,23,0.215942029,,,,,,,,,,,
random,20,2,8,3,2.56916996,1,"[3, 4, 5, 9]",0.154150198,1,23,0.132505176,,,,,,,,,,,
model,20,2,8,5,3.636363636,1,"[2, 4, 6]",0.142857143,1,22,0.154545455,,,,,,,,,,,
